fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13
-1.9046489,0.59728694,0.15131943,-0.13109088,-0.36418715,-0.40830714,0.12574929,-0.6520521,-0.15353785,0.012864193,0.9534988,0.5909469,-0.5093713,-0.9543894,-0.9475038
-3.488544,-0.8714466,-0.44658905,-0.6589413,-0.05354558,-0.64991754,0.09758711,0.36415794,0.02439365,0.2560578,0.85093963,-0.33579415,0.5167526,-0.63175976,0.17496896
-3.6479394,0.40736088,0.7796666,-0.03820765,-0.77265155,0.32428092,-0.1548712,-0.52392817,0.044984486,-0.5873789,0.3192016,-0.003525138,-0.63439864,-0.17407882,-0.28129417
-2.9427783,-0.1413964,0.044363882,-0.5743212,-0.44235033,0.14716184,0.30617166,-0.47971773,0.066830456,-0.57945997,0.43570256,0.71105206,0.40772468,-0.27945414,0.3850079
-2.4319537,0.28769416,-0.57342505,0.8920935,-0.38052893,0.23584169,0.35792753,-0.35378528,-0.11222402,0.66447943,0.82441235,-0.17370735,-0.67866224,-0.78526455,0.96051246
-2.039162,-0.43916452,-0.5198203,0.53244597,-0.7600068,0.08277143,-0.42786348,0.032613143,0.75092334,0.8436057,-0.25468677,0.69936526,-0.713486,-0.8028178,-0.41395664
-4.0282683,-0.25455356,0.36826363,0.18869139,0.80313915,0.63554496,-0.5138146,0.20525765,0.054298162,0.12951744,0.020339396,0.2570883,-0.28276628,0.17654438,0.08094863
-3.8503406,0.43928358,-0.5895766,0.681642,0.6020318,-0.3690512,-0.25650567,-0.38411322,-0.08862134,-0.009460807,-0.0729994,0.03973724,-0.513554,0.3607539,0.11662775
-2.8258939,0.025162075,0.8321314,-0.35432327,0.64132416,0.5714471,0.2329197,-0.68217224,0.22930358,-0.031834286,0.028917808,-0.8405409,-0.14534517,-0.12811744,0.49839216
-3.9303837,0.73088276,-0.003970623,0.24187768,-0.8172549,-0.4824307,0.16739523,-0.6609101,-0.115949884,0.5734858,0.52545273,0.49882674,0.38252053,-0.8323986,0.7740278
-2.1861596,0.32295802,-0.80588955,0.18720032,0.5831221,-0.2656816,0.96917874,-0.079658456,0.40341368,-0.4257897,-0.8393296,-0.08616792,-0.34872508,-0.82572126,0.57781255
-2.911173,-0.23003927,0.10088142,-0.49589777,-0.39899647,0.5339303,0.010548555,0.058649387,-0.08395685,-0.7874821,0.3316736,-0.27750474,-0.13996558,0.47129947,0.46524736
-2.9276242,-0.07637034,0.55552727,0.817462,0.5078375,-0.77231324,-0.14291234,-0.7633109,0.22475016,0.7003295,-0.1614385,-0.5883596,-0.06972551,0.17462942,0.060141467
-2.8992484,-0.0068319445,0.53062063,0.56086826,-0.81339926,0.6856779,-0.5827778,-0.3126295,0.26046696,0.20011187,-0.005051681,-0.94317144,-0.14939013,0.38703305,0.8140186
-2.7942135,-0.35428914,0.4037629,-0.55969834,-0.10964778,0.77028525,0.5223538,0.4692631,0.1442492,-0.51174796,-0.20577297,-0.18331397,-0.5256969,0.92727077,-0.2800624
-1.8767424,-0.46342152,-0.17885694,-0.80483073,-0.18312736,-0.0717373,0.17385954,-0.79394835,-0.2957036,-0.039381504,0.7411573,0.8273596,-0.65131456,-0.99707156,0.36848706
-2.989248,0.852157,-0.12949166,0.2695418,-0.36792418,0.39899555,-0.20289789,0.18310662,0.9411639,0.7116721,0.010733366,0.22197296,0.05137381,0.58126116,0.70292175
-2.9960036,-0.090705335,0.2567103,0.067756385,-0.64600486,0.15698946,-0.29900086,0.30963197,0.44088122,0.32187057,0.09876184,0.04410025,-0.18636753,0.43457913,-0.32469276
-3.053345,-0.12657268,0.024920687,-0.08784443,0.7224509,-0.53369623,-0.16507444,-0.5070816,0.86717784,-0.198634,-0.05975167,0.20043011,0.41285354,-0.9571848,-0.35228625
-2.3831978,0.34075862,-0.26192713,-0.8035498,-0.09274888,-0.9386108,0.47630388,-0.9215291,0.5860377,-0.352945,0.68017405,-0.3553582,-0.19919002,-0.4304247,-0.9532446
-2.2315152,-0.21520041,-0.59648657,-0.6494786,0.15261434,0.11097992,0.30994773,-0.31684858,-0.41312203,0.09009334,0.3772211,0.3378362,-0.5742376,-0.9648643,0.054163527
-2.4905846,-0.015376967,-0.4366863,-0.70172805,-0.1504276,-0.10155701,-0.8541801,-0.91216105,-0.18656427,-0.32754123,-0.40923703,0.49386507,-0.3040687,-0.6639529,-0.036826357
-3.0499856,-0.26834634,0.25731984,0.13319254,0.5466544,0.5757497,-0.30391976,0.26156265,-0.7679542,-0.84917176,0.868163,0.7064242,-0.0030201054,0.18516685,-0.008517137
-4.8882637,0.20755053,-0.17820197,-0.21800785,-0.019075558,0.822739,-0.6754474,-0.43114582,-0.15717697,0.116107464,-0.0350914,-0.30702353,-0.4763113,0.41959614,0.8540785
-2.0079691,-0.9388047,-0.0638442,0.14567417,0.21066251,0.37677607,0.09599424,-0.37377292,-0.7499757,0.405324,0.71713805,0.9856305,-0.82353115,-0.9390932,0.9173499
-3.1319687,0.5535324,0.30119038,0.685437,-0.22052684,-0.69730246,-0.8954249,-0.58873904,0.14454103,0.8294783,0.54244876,-0.31377125,0.2517638,0.33695891,0.7345023
-2.7064154,-0.2038325,0.3377888,-0.27651262,0.88091946,0.2239286,0.03598113,-0.29415384,-0.722494,-0.31373954,0.3414649,0.0951647,0.17178366,-0.52729225,0.13848914
-2.924946,-0.3181041,-0.032756805,0.087407455,-0.47953025,0.30508524,0.007161266,-0.23372942,0.80067253,0.7442746,0.17502958,0.3418573,0.8507529,-0.5561366,0.300063
-3.5035043,0.40985805,-0.46702677,0.4150908,0.3645949,-0.21781129,-0.033532977,0.2556195,-0.4158895,-0.36316365,-0.15204932,-0.65639615,-0.14380871,-0.237531,0.55010444
-2.0633152,0.7358904,0.4052198,0.2522061,0.22414874,-0.3601752,0.35893944,0.35715744,0.14779937,0.25674513,-0.8482582,0.8194704,-0.7504124,-0.8474472,-0.31674448
-3.6650229,0.8740623,-0.41490233,-0.7773701,-0.36686555,-0.5226778,0.7225722,0.39440316,0.07259416,-0.1676239,0.70927453,0.32578436,0.28064013,0.6645216,0.24829538
