fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-11.487374,-0.24552748,8.199765E-4,0.5283018,-0.22418128,-0.11601348,-0.36601198,-0.6916957,-0.17042315,-0.166341,0.60563564,0.6068015,-0.17216173,-0.31115797,0.13456583,-0.11308241,-0.7273327,-0.92661005,-0.63801223,0.10096896,-0.84046733,-0.39491415,-0.54743785,-0.124392115,0.16469313,0.89107364
-2.0538783,-0.62167543,-0.8617716,0.34884146,-0.20243426,0.8244817,-0.7484305,0.0051831226,-0.55328804,-0.39716768,-0.1978939,-0.61453754,-0.033225473,0.37868375,-0.7155599,-0.8456274,-0.20457168,-0.7033849,0.96246165,0.6494154,0.81999594,0.05812748,-0.028258204,0.04535004,-0.23274107,-0.4106674
-1.5265812,-0.105490945,0.5659423,0.06517859,-0.26142505,0.14042103,-0.45324907,0.16328716,-0.11009875,-0.16409057,-0.44818288,-0.053797815,-0.32340854,-0.12957406,0.45573008,-0.21573131,-0.07157993,-0.6193587,0.2634089,-0.32083794,0.35863614,-0.21386701,0.23911035,-0.3335556,0.36689857,0.7788483
-2.2427607,-0.12842248,-0.67064613,0.3163349,-0.19682424,0.13746077,0.045866273,0.011235714,-0.14463747,0.3455854,-0.67004436,0.15845896,0.06280805,-0.03869098,0.3052163,-0.20851018,-0.120330594,0.4665276,-0.8543976,0.3646323,0.026956623,-0.93892,0.40339404,-0.19406505,0.31619197,0.47014093
-0.2217271,0.81949556,0.19761664,-0.38469028,-0.36122534,-0.14374736,-0.07249619,-0.46247458,0.3116405,0.4717069,-0.40993357,-0.25536987,-0.96240157,-0.64759195,-0.95764244,0.93424517,-0.5077219,0.056306265,-0.66062784,-0.20884034,-0.6753067,0.44127917,-0.5811164,-0.8099907,-0.58480203,0.3710269
-1.8419031,0.425312,-0.64937437,0.21353588,-0.52674943,0.544232,0.9102371,-0.1806781,-0.107226074,-0.59854597,0.5134149,-0.21470213,0.7958372,0.4822801,-0.23285758,0.78815365,-0.15959252,0.9093373,0.58016515,-0.4376434,-0.56696504,0.3725976,-0.036807105,-0.9477384,-0.5939174,0.40042675
-2.155007,0.24664241,0.27721488,0.21066713,-0.09002217,0.37989807,-0.5272016,0.614736,0.49460548,0.23862755,0.12476272,0.6853821,-0.18234064,0.055022642,-0.23435642,-0.18110023,0.051475484,0.25876698,-0.88733834,0.8198001,0.33790258,-0.37778205,0.09933263,0.010171175,0.3043824,0.6673875
-4.526002,0.041869834,-0.42354923,0.65440553,-0.5908821,0.36481583,-0.7517188,-0.056417838,-0.19726394,0.016049027,-0.033251714,-0.72852576,-0.482898,-0.7423524,-0.015176773,0.10060354,0.6940471,-0.06581867,-0.3007567,0.18872786,0.6338995,0.05530989,-0.19743529,-0.22854322,0.50830936,0.31626463
-1.5896823,-0.8344286,0.36940548,0.0060509983,-0.6388166,0.87252885,0.32924518,-0.32379076,0.422775,0.49366617,0.25905,0.64300793,0.26168725,0.0062431647,0.24104738,-0.0768082,0.38121098,-0.046677835,0.027566345,-0.8653595,0.17569001,-0.92115396,-0.5344376,-0.5125248,0.3579276,-0.5844656
-5.440565,-0.34235674,-0.5151508,0.9419196,-0.5807801,0.7825052,0.38020578,0.4727384,-0.2942874,0.50380385,0.8462114,-0.4147351,0.65597916,-0.24335189,0.7922828,-0.453946,0.12483722,0.66854686,-0.29046193,0.46834671,-0.76966774,-0.67863,-0.30138555,-0.65265006,-0.69763684,-0.7142152
-1.6401523,0.37296766,0.14386778,-0.06639632,-0.993692,-0.6759618,-0.70970297,0.51196223,0.18083984,0.15430048,0.01568984,0.7347933,-0.8346286,0.11540885,0.1818802,0.32636678,-0.4093746,0.12210808,-0.08448194,0.06437524,0.21037908,-0.0062574768,-0.52691996,-0.16973427,-0.62895197,0.022965636
-1.3162216,-0.6566788,0.29422662,-0.08389535,-0.2391776,0.6373142,0.08813567,-0.66932386,-0.18939343,0.48349327,0.19313632,0.28591767,0.16132148,-0.42561212,0.013988278,0.24027908,-0.50562763,-0.028869336,-0.18628284,-0.9056422,0.4243239,0.018542528,-0.19659065,0.2970732,-0.0033974648,0.3744492
-0.71800566,0.6561053,-0.30815795,0.8345228,-0.14802164,0.1649515,0.3177261,0.47946012,-0.057362452,0.06562937,0.7931781,-0.9307075,0.37059104,0.6580733,-0.43625528,-0.70589584,-0.1391691,0.37960154,0.4647593,-0.66106725,-0.20232557,-0.5333268,-0.9581008,0.4850563,0.638998,-0.48462293
-3.3116016,0.037069015,-0.18418217,-0.3456989,-0.53355336,0.8132452,0.026440024,-0.6392081,0.5558458,0.48074582,-0.10516771,0.22876525,-0.84572667,0.23196699,-0.25611818,-0.084768616,0.20489618,0.27601916,0.42355,-0.21097445,0.55033326,-0.10107815,0.22881508,0.68320006,0.26559877,0.43038908
-2.5510163,0.21742631,-0.52521586,0.92309666,-0.20618644,0.017653303,-0.24278836,-0.65359765,-0.016519655,0.051612575,-0.470999,0.11269601,-0.43616942,0.16365118,0.5962074,0.14000724,-0.10693486,-0.4924332,-0.34748778,0.83110535,-0.98614776,-0.2641033,0.85016584,-0.16368596,0.069837265,-0.22343297
-29.089546,-0.467308,0.061963256,0.062394235,-0.31161225,0.65490746,-0.21307425,0.8801044,-0.44386435,0.13364226,-0.52928334,0.68927747,0.9968802,-0.09042299,0.052042194,0.22372398,-0.22914399,0.48002973,-0.19252466,-0.9687733,-0.31643352,-0.86532277,0.1417309,-0.06895078,0.09609836,0.8898461
