fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8
-1.2955482,-0.66104317,0.47352192,0.46533716,0.10059972,0.5161415,0.40885183,-0.8077781,0.481183,-0.14157327
-8.305187,-0.25816366,0.1795026,-0.11595886,-0.058408014,0.38423222,0.043132342,0.69238484,-0.11285089,-0.20089073
-0.28152013,-0.020108666,0.0278582,-0.5847159,-0.20667529,0.7464018,-0.92139465,-0.28393087,-0.055133224,0.24235913
0.6289281,0.22195518,-0.48984587,0.052556947,-0.13839036,-0.17956293,-0.7040912,-0.25445533,-0.16406113,-0.326336
0.33373508,0.4882015,-0.2738006,-0.4299988,0.21598148,0.21783042,0.3758299,0.0036426962,-0.36298707,-0.020485628
-0.36272347,-0.013345326,-0.22462523,0.27892876,-0.302094,0.769033,-0.64191955,0.5018031,0.83421874,0.12991542
0.2572668,0.08024009,0.12894471,0.92495334,0.9330656,-0.2520664,-0.69876766,-0.412536,-0.35411608,0.8508743
-0.17316645,-0.4102111,0.4748149,0.280893,-0.4367611,0.0017424066,0.41301486,-0.26475522,0.51609087,0.018003343
0.84478605,0.3821748,0.021081574,0.5087491,-0.4796507,0.14538142,0.18521628,-0.0054545323,-0.05116931,0.92293346
-6.524556,-0.028753515,-0.433965,-0.40419352,-0.5792826,0.9216541,0.025216307,0.20236266,0.068333864,-0.28390527
0.5698166,0.5180725,0.4913122,0.18135779,-0.0061887107,0.38674724,0.81887776,-0.018797992,-0.18496858,0.67339337
0.046329487,-0.3392022,-0.17295803,-0.23695001,0.448936,-0.05308857,-0.9838517,-0.063604765,0.06888179,0.52825546
0.24939162,-0.09840552,0.16313112,-0.22461128,0.7340507,0.3208435,0.7786873,-0.001598597,-0.5519327,0.1169788
0.36836642,0.5177266,0.21340385,-0.19241945,-0.026938869,-0.80770004,-0.9724655,0.021215394,-0.3518002,-0.41829953
0.2503873,-0.29460996,-0.9844062,0.24494985,0.6862769,0.15962374,-0.030644178,-0.053877696,-0.013232786,0.29341134
-0.01567798,-0.04209126,-0.72760093,-0.56919104,-0.58146876,0.1274085,-0.6124614,-0.2622357,-0.54884136,-0.33095452
0.40725628,0.39490974,-0.03687632,-0.50603116,0.6130591,0.479995,0.16804384,0.121668495,-0.20734951,0.32026505
-0.28816622,0.0786041,-0.97470415,0.05571851,-0.03683731,-0.14167367,0.5666566,0.53202,0.31613982,-0.015750932
0.80834585,0.5355112,0.17267565,0.19174388,-0.27191284,-0.07779205,-0.6730354,-0.24990833,-0.0061540604,-0.89219445
0.24092962,-0.6826618,-0.4667279,-0.14487183,0.21691917,-0.1397902,-0.8632358,0.35865524,-0.2679778,-0.43627727
-0.4337582,-0.62315214,-0.3176359,0.9439347,0.18352771,-0.24230377,0.63986254,-0.3340395,0.040885672,0.15387191
0.015908983,0.6408142,-0.04905185,0.24930222,-0.4067552,-0.65660423,0.31735575,0.41921198,-0.8116163,-0.4759428
0.4077503,0.37241387,-0.058292918,-0.5393581,0.84658027,-0.8980363,0.4752916,0.036918744,-0.034804452,-0.18347737
-6.00862,0.6980199,0.18387836,0.050488368,0.010147214,0.9460296,-0.5246339,-0.57678795,0.15864772,0.18347773
0.7916827,0.57420003,0.32500738,0.8634381,-0.48136607,-0.49098194,-0.17471865,-0.059662186,-0.076930694,-0.2986444
