fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-2.2624776,0.29147854,-0.037019856,-0.83842486,0.52203864,-0.21697251,0.08860973,-0.91681445,0.65563905,-0.37868875,0.7304234,-0.29479432,-0.66803735,0.19601895,-0.67453235,0.17677093,-0.17490973,0.27904928,0.3540345,-0.42592978,0.98000854,0.8535127,0.7792554,0.45840934,-0.5718769,-0.88314927
-2.246547,-0.69578373,0.2036336,0.1166898,-0.28308704,0.48278552,-0.69772553,-0.27152097,0.35855085,0.020900488,0.45630485,0.114362024,-0.21066286,-0.14895684,0.53391576,0.34324473,-0.29144466,0.044113565,-0.912587,-0.21961217,-0.3735674,-0.8156675,0.15154813,0.9629077,-0.010600547,-0.50326777
-1.066248,0.33129403,-0.31823352,-0.53219867,-0.3948619,0.1324883,0.39275798,-0.6366593,-0.23016854,0.57028615,-0.426863,-0.3911996,0.31248522,-0.905836,0.49194744,0.26876146,0.23396869,-0.46568903,0.79551655,-0.49007088,0.69292486,0.22060195,-0.4144969,-0.4478928,0.05647405,0.6849623
-2.1640768,-0.39558232,0.71170527,-0.20119044,-0.35180378,0.6373618,-0.77240485,0.3268622,-0.19302386,0.15365537,-0.31286347,0.7514701,-0.72516835,-0.075235605,-0.06773759,-0.23555076,-0.37737498,0.27140868,0.55727947,0.029880807,0.0014444743,-0.54911464,0.0037778735,-0.14924985,-0.61159617,0.03355532
-4.86663,0.01435988,-0.8153894,-0.84693706,-0.22116981,-0.31628555,0.98876286,0.5369887,0.006748056,-0.58207625,0.15465212,0.22683236,-0.8404932,0.011118337,-0.3571076,-0.8647409,-0.42102274,0.11547019,-0.030855387,0.38447586,-0.14569712,-0.4326058,0.48060322,0.4542469,0.11392469,0.62751746
-2.2271967,0.040326074,-0.13896334,-0.19036336,0.85967577,0.8142586,0.43950367,-0.16220105,-0.9383677,0.36380684,0.7941661,-0.20543551,0.28968453,0.5634469,-0.29181924,0.45342198,-0.3454787,-0.121969454,-0.2379924,0.013782203,0.31679028,-0.045252442,0.07811558,0.2405827,-0.32354552,0.24546725
-2.9455247,0.3851992,0.031573832,-0.3319494,-0.31218514,0.044013232,-0.41360036,-0.032635972,-0.8380719,-0.54423577,0.4407274,-0.026972175,-0.1968162,-0.10359197,-0.52582407,-0.26580167,0.47182864,-0.6780504,-0.80017674,-0.39124557,-0.5677674,-0.26144466,-0.11226666,-0.5646202,0.25828126,-0.040046267
-3.8392575,-0.39225706,0.11695881,-0.5496494,-0.9921758,-0.8328731,-0.28569987,0.94645864,-0.6787489,-0.13884082,-0.42290175,-0.45091859,-0.22508596,-0.2563842,0.57664615,-0.88520694,0.1612289,0.117067106,0.21732491,-0.3599187,-0.08697462,-0.7380408,0.4816883,-0.78104573,-0.048140958,0.5949269
-1.4736935,0.9954216,-0.9493618,0.061894417,0.13500243,0.017350402,-0.12263471,-0.06304288,0.3351693,-0.52889454,-0.05412633,-0.39411747,0.3387241,-0.88174975,0.029693631,0.12712562,0.67313546,0.8449718,0.24097893,0.030311283,0.6431708,-0.29354128,-0.36085695,-0.13481164,-0.3524273,0.89175534
-0.3677112,0.8867975,0.23822427,0.3936753,-0.4557246,-0.59747964,-0.096315145,0.040318035,-0.11380395,0.18036123,0.07443393,-0.039756417,-0.49869612,-0.43825585,-0.41497687,-0.11461544,-0.83451694,0.9661428,-0.11543983,-0.3917083,-0.7871112,-0.82605875,-0.42897663,-0.4286046,0.17914592,0.76568687
