fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
-1.3433831,0.5681369,-0.94598454,-0.0837349,0.13633955,0.9620682,0.07666265,0.35156572,-0.4144274,0.006921668,0.8058052,-0.39948833,-0.3041817
-2.8688343,0.5247688,0.15278463,0.86357516,-0.7656628,0.048273318,-0.7415146,0.9275146,-0.0029645076,-0.11896445,0.19448939,0.2637535,-0.6756781
-1.8771931,-0.52446866,0.62015647,-0.74162334,0.4372626,0.15408804,-0.34108156,-0.31357852,-0.11716378,0.6061468,0.19218175,-0.265939,-0.72511905
-0.95429903,-0.4700433,-0.8611343,-0.25969115,-0.5708123,-0.38350224,0.4312442,0.25381023,0.06916024,-0.09467572,-0.4276959,0.60956055,0.02447314
-0.2607625,0.6971387,-0.086271234,-0.2181232,-0.91747373,0.20479977,0.5498494,-0.92250127,-0.4139175,0.8063116,0.59242636,-0.026496677,-0.42547825
-0.44404593,-0.112197876,-0.061681442,-0.8495356,-0.6162751,-0.6619985,0.6648956,-0.6059556,-0.17456122,0.96236,-0.2131486,0.48459533,0.4060855
-1.3575386,-0.68185014,-0.57861096,-0.69794744,-0.1908477,0.03320569,-0.016453981,-0.26090676,0.69296557,0.8760157,-0.1629578,-0.16886054,-0.23484851
-1.3321664,-0.6038258,0.1373777,-0.020159181,-0.2825398,-0.12294853,0.25256583,-0.3046842,0.31679893,0.18082845,-0.005693711,-0.36969003,0.35627487
-1.4092158,0.4919244,-0.21349452,-0.22015327,-0.76119655,0.1975702,0.22873163,-0.24328041,-0.6996278,0.31901994,0.26090375,0.6343325,0.03065526
-2.3604634,0.59069294,-0.13845676,0.4046632,0.11980515,-0.8354638,-0.033838566,0.5391341,-0.9305325,-0.95846796,0.36775225,-0.49196294,0.061210908
-1.3312246,-0.5263118,0.27261573,-0.27811107,0.040728617,-0.28250435,0.36077628,0.37947267,-0.54178226,0.4746865,-0.28964722,-0.10802959,-0.47648457
-1.9396722,-0.28293812,0.23456118,-0.35758716,-0.5351182,0.20708649,-0.21698311,0.73534936,-0.37569278,0.14841567,-0.31876835,-0.31643915,0.041681807
-23.04832,0.69628644,0.1129215,0.63062286,-0.8793146,-0.2861046,0.0071130926,-0.38286674,0.20306563,-0.87593615,-0.15033595,0.56244236,-0.18046641
-0.30996865,-0.44881326,0.11272655,-0.14067894,-0.3818374,-0.27961478,0.46275574,-0.07816076,-0.6017829,0.44193608,0.47281694,-0.50766563,-0.046377633
-1.29421,-0.48942888,-0.044000626,-0.5017693,0.04356822,0.22934009,-0.03698149,-0.8875284,-0.16578977,0.24100226,-0.9996786,0.060618054,0.8024884
-1.211922,-0.20722823,0.25261176,-0.03211747,0.033208173,-0.29612255,0.17223741,0.07133044,-0.23392029,-0.0019278829,-0.17443581,-0.05681893,-0.41220412
-1.6550354,0.18960238,0.9033235,-0.099202394,0.038415194,-0.15281984,-0.08091473,-0.18993387,0.39450383,-0.14530332,0.70962656,0.83511776,0.4847318
-1.871126,-0.37953502,-0.22212176,0.38332114,0.11521984,-0.9675195,-0.1721617,-0.9853388,-0.118613295,-0.1452204,0.83386236,-0.43839908,-0.89201874
-0.1686116,0.7902103,-0.8870757,-0.41557512,-0.65660447,-0.6538464,0.8754995,0.46833834,-0.66011363,0.76939964,-0.3997122,-0.35129142,0.40928546
-1.9325202,0.8656939,-0.22680002,0.17723726,-0.28482294,-0.21669444,-0.6864644,0.028694343,0.20807078,0.8819652,0.03381805,0.78582114,-0.34856117
-1.3137718,0.36104783,0.35775238,0.18551278,-0.069888115,0.7578137,0.079023205,-0.6430735,-0.14443664,0.5232474,0.108997464,-0.013895926,0.2671144
-1.0180044,0.19974135,0.14897652,-0.6718472,-0.9321723,0.21894173,0.13064706,0.58917755,0.030017389,0.6408613,0.4363158,0.85740155,0.83193016
