fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8
-2.0396566,-0.978693,-0.44192222,0.32189322,0.09439625,0.45484534,0.2677129,0.42122263,0.42889583,-0.92227715
0.65454865,-0.1471687,0.42704496,0.6988626,-0.4303487,-0.05947721,-0.18211472,-0.08989096,0.03913138,-0.21221548
0.8703976,0.8426067,-0.92353284,0.4973556,-0.017430782,-0.18866235,-0.55442744,-0.14086735,-0.11562411,-0.036462978
0.26747465,-0.03430141,-0.082793236,0.7463537,-0.14594193,0.19987552,-0.6162045,-0.5331736,-0.1764922,-0.058742147
0.83622897,-0.27026334,0.67826647,-0.31830648,0.09068645,0.0585172,0.0873565,0.0014271466,-0.019476226,-0.026145365
-0.19397715,-0.036443997,-0.127357,-0.23177806,0.7900695,-0.4635001,0.27426574,-0.07727432,0.11521085,0.113838255
0.76573944,-0.4095106,0.6969566,-0.5846058,-0.38393807,0.7082366,-0.6318493,0.11306226,-0.17890033,0.26723814
-0.43622926,-0.15349653,0.46564856,0.38075224,-0.7687569,-0.009658837,0.13937122,-0.3524056,0.13861585,-0.2709186
-0.37365282,-0.7866541,0.2737378,-0.4237376,-0.90123194,-0.59661835,0.004324026,-0.83495486,-0.5794544,0.19289657
-0.11844965,0.50899446,0.03791864,0.8315806,-0.58940816,0.38867414,0.99613094,-0.3558355,-0.89141536,-0.994327
-0.20939328,0.87278485,0.061010126,0.833118,0.07541674,0.9796275,0.18164258,0.23304398,0.496414,-0.6263471
-1.2384278,0.6222675,0.22564116,0.33615944,-0.6268639,0.33698493,0.06220335,-0.70808107,0.7422072,0.06779234
-0.2926275,0.011794015,-0.062968634,0.04899538,0.16874233,-0.41138145,0.058000665,0.75596696,0.3937431,-0.628389
0.8326577,-0.7944025,-0.5079132,0.75159395,-0.9597358,-0.026481554,0.055765864,-0.014100241,-0.096152894,-0.3328225
-0.54915255,0.98229295,0.38785022,0.277153,-0.7872163,-0.13580787,0.5823323,-0.558998,-0.29764524,0.5326116
0.084604405,-0.56975687,-0.68152887,-0.73035127,-0.93499464,-0.2819896,-0.07683227,0.9054068,-0.715882,0.3542676
0.48496377,-0.60085034,0.2626127,-0.15846777,0.6203567,-0.12215626,-0.6892688,0.14118314,-0.19056779,-0.32984242
0.34606406,-0.007639481,0.8975155,0.27283138,-0.030426161,0.9987173,0.4177509,0.4324646,-0.888376,0.07540353
