fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49
-13.599199,0.121602535,-0.12661695,0.8446109,-0.09323664,0.26973885,0.33250225,-0.67875004,-0.67157596,0.12007043,0.14808099,0.3093168,-0.076505065,0.6222334,-0.03355775,-0.11691813,0.16008182,0.23789927,-0.8259619,-0.5440625,-0.2909138,-0.80564296,-0.031705312,0.8894482,0.5184404,0.49796447,0.15005338,-0.69770044,0.2632697,0.5323671,-0.47498623,0.28792927,-0.52115,-0.1994185,0.4833224,0.06541018,-0.5523998,0.83067256,-0.05122594,0.7243317,-0.60743797,0.22202376,-0.010275056,-0.8908091,0.5682992,-0.539078,-0.8915094,-0.5019971,-0.07402918,0.24840578,-0.24708569
-12.609205,0.6638455,0.22232671,-0.23211747,-0.84929585,0.33362827,-0.08429713,-0.14700583,0.55851364,0.477994,-0.3086528,0.94881195,0.7608061,0.8479975,-0.4399872,-0.61267513,-0.08753381,-0.83212686,-0.038817547,-0.6485884,-0.16243164,-0.05524971,-0.30534458,-0.22191027,0.8411576,0.07866697,-0.72970396,0.772783,-0.27649406,-0.30967182,0.5173611,0.0039042903,-0.5838477,0.49807966,-0.419309,0.8145678,0.19902617,-0.25503114,-0.29401284,0.6298387,0.3693369,-0.58006245,0.1846186,-0.63608456,0.0010773494,0.01778877,-0.44985628,-0.90524656,0.117299415,0.07266291,-0.015314452
-20.47282,0.26420534,0.5661531,-0.29579404,0.24127127,-0.37882158,-0.13424057,-0.0825325,-0.020236926,0.31859988,-0.15439409,0.29266042,-0.1967407,-0.5194276,-0.7895324,0.062427044,-0.25532508,-0.54221934,0.0409031,0.17503886,-0.20252554,-0.5953854,-0.7923782,0.244243,0.9267847,-0.19395974,-0.37465042,0.034321133,-0.89027256,0.08818822,0.77694285,-0.5566476,0.29640898,-0.022049427,0.8755835,-0.7687375,-0.0053804717,-0.92367345,-0.953222,0.14332205,0.12438583,-0.96845865,0.9765184,0.069519825,-0.05608874,-0.6415492,0.66922086,-0.6408218,0.4334648,0.77691495,-0.4200637
-17.719484,-0.07196377,-0.47690463,0.3450866,-0.5773089,0.15115412,0.4974936,-0.9269345,-0.38762084,0.21832596,0.32067275,-0.19371052,0.33808333,-0.37985575,-0.2816581,-0.14998065,-0.29347587,-0.5069159,-0.5277245,0.5214012,-0.80086064,-0.8229264,0.59703356,-0.038091917,0.6152909,0.33381248,-0.33705038,0.2975061,-0.364956,-0.6088844,0.5420524,0.35872224,-0.49860156,-0.2864457,-0.29761207,-0.025181293,0.14565957,-0.7147291,-0.5506635,-0.17593396,0.68081164,0.12263123,0.013744599,-0.5484251,-0.2511567,-0.003934013,-0.43830085,0.45970422,-0.065795064,0.9737951,-0.0398709
-16.839079,-0.28253344,-0.45725858,0.98631793,0.40147966,0.3982431,-0.58569974,-0.7918363,0.45344996,-0.9367237,-0.034247395,-0.41120267,-0.37836015,0.7023687,-0.7323206,0.06297764,-0.089846015,-0.40627876,-0.4934979,0.13454568,-0.6943964,0.7721136,0.08112109,-0.19165364,0.67905617,0.26275504,-0.7771206,0.23579161,0.376779,0.48554587,0.4072563,0.88730544,0.09868562,-0.15665627,-0.1803876,-0.16690478,0.24973583,-0.16075508,0.407036,0.64248925,-0.0041849143,0.33497447,0.43450147,0.10907167,0.79246277,-0.30131826,0.9379386,0.6956972,-0.8783892,-0.004920721,0.2347593
-14.162289,0.025075316,0.75466377,0.033112448,-0.2257834,-0.14666696,-0.25979778,-0.5732915,0.37543535,-0.4104961,0.18032122,-0.70847553,-0.22085805,-0.15586066,-0.1818645,-0.14788279,0.17027353,0.16380915,0.6644782,0.52918,-0.69751406,-0.591315,-0.28703764,0.89934736,0.22703744,-0.42233855,-0.3356902,0.6961174,-0.046094667,-0.6992941,0.22496602,0.65560174,0.08554423,-0.17090131,0.5222218,0.7633807,0.6295423,0.05715072,-0.15967159,0.06867601,-0.70410544,0.04091668,-0.69027597,0.6396085,-0.09102629,-0.36743665,0.27664137,-0.9078014,-0.07753946,0.8602924,0.07374908
-15.141912,0.576985,-0.20883851,-0.29982078,0.4369778,0.05496317,-0.08402091,-0.4072565,0.59510446,0.052040916,-0.06375767,-0.2536833,0.8344219,0.0018051986,0.028060092,-0.44127893,-0.15804183,0.2933582,-0.1027016,-0.09813411,0.81607735,-0.49087316,-0.57760555,-0.6196426,0.15854114,-0.022168875,0.15958989,0.24870586,0.03947364,0.20792362,-0.50693095,-0.272649,-0.21597698,-0.46097288,-0.035771634,-0.6718306,0.37030292,0.17184065,0.90553564,-0.33417383,0.0095380545,0.55246454,-0.33576664,-0.730985,0.40648338,-0.363784,-0.3753396,0.20541517,-0.14495535,0.9600303,0.42372298
-31.771093,-0.055899262,0.3737048,-0.97051543,-0.7700165,-0.12689674,-0.6345104,-0.8940095,0.41176274,-0.02747939,-9.393236E-4,0.004920798,0.49205634,-0.19464085,-0.044923633,-0.7438236,0.9531896,0.79942936,0.39808,-0.1276867,-0.7419315,-0.7247439,-0.7888184,-0.76428497,-0.118044525,0.3786447,0.59191966,0.7312433,-0.107707225,0.14699948,0.12847783,-0.49573565,-0.46333563,0.17272542,-0.2106261,0.24452376,0.8196897,0.36475018,0.8521095,-0.5390293,0.18053755,0.7185348,-0.7638844,0.27642846,0.11553165,0.0921058,-0.7641763,-0.6578422,-0.036853198,-0.25934526,0.27860096
-13.244028,-0.7329583,-0.117364325,-0.94237715,-0.3564136,-0.040613532,-0.38572213,-0.4051453,0.5273919,-0.59995705,-0.26070696,0.048039947,-0.672147,-0.3274761,-0.2107346,-0.13956314,-0.25075212,0.46063218,0.51825434,-0.23808643,-0.25551277,0.20523413,0.025938433,-0.09654394,0.9282931,0.5017353,0.6067687,0.13726431,-0.5662615,0.12988159,-0.41574174,0.20580713,0.38855878,-0.5063241,0.5283241,0.7914043,-0.0034861565,0.08184463,-0.0022730466,-0.96665835,-0.012124181,-0.27561784,0.3223103,-0.23251414,0.6879004,0.22757958,0.66365135,-0.93829507,-0.26236957,-0.29235733,-0.6556628
-13.774281,-0.19344856,0.21556778,0.91906047,-0.24797134,-0.33025447,-0.28307152,0.055140853,-0.24455178,0.116705164,-0.6499896,0.23032299,0.050452527,-0.39933315,0.008014532,-0.9006727,0.22011304,0.23132358,-0.1102317,0.22749913,0.25682202,-0.1620331,0.66391146,-0.20131774,-0.070314534,-0.31442344,0.10672749,0.23151301,0.88268244,-0.4033259,0.33282638,0.26052004,0.30924183,-0.16233234,-0.08910386,0.59812796,-0.93265116,0.80569017,0.35902524,0.067354955,-0.21980019,0.29132158,-0.8607788,0.58625174,-0.42421737,-0.47554305,-0.94229585,0.27455115,0.18672152,-0.027447747,0.20984697
