fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13
-2.0507548,0.6889579,0.53401273,-0.5379156,-0.4389038,0.098402396,0.03274727,-0.8866385,0.09317171,0.31244692,-0.4939339,0.20783256,-0.31718665,0.7778073,-0.26142803
-3.0780823,0.041292068,0.18864706,0.75478977,0.0532763,0.27910745,-0.7535835,-0.73535013,-0.4287549,0.46748227,0.50826037,-0.96408474,0.13858369,-0.08220303,-0.033476114
-1.0962943,-0.19025327,-0.08285239,0.8756726,0.057358727,-0.76087207,-0.5223607,0.5616019,0.7743389,0.49094075,0.23864132,0.6915585,-0.5003736,-0.9051756,0.5442796
-2.264581,0.92358404,0.18608995,0.26105052,0.7789484,0.029608756,-0.52950007,0.4188135,-0.52473915,-0.20469086,0.75783765,0.12348477,-0.636072,0.9392483,-0.41886282
-2.4258814,-0.58541703,0.9830707,-0.72716653,0.09091375,-0.057513125,0.39399722,0.31841743,0.5498722,0.3729861,-0.5933552,-0.19701006,0.21998136,-0.3101391,-0.10662472
-1.8720573,-0.8589161,-0.6054425,0.26783568,0.9572734,-0.25048575,-0.9266438,0.3950503,0.68133944,-0.45148292,0.32975915,-0.6276507,-0.104005285,-0.44311544,-0.23376569
-4.850623,-0.058975466,-0.10097842,-0.72289985,-0.07144285,-0.20026053,-0.4134801,0.22122219,0.10362174,0.13968225,0.06710625,-0.13425688,-0.36774886,-0.17677629,-0.30394414
-4.6436806,0.56264514,0.84412605,-0.34788957,-0.51934016,0.7126101,0.68539584,0.6648622,0.22493145,-0.5470181,0.464086,0.16445468,-0.41028282,0.47017634,-0.30220756
-1.8053263,-0.17169036,-0.41331407,-0.31884092,0.60986364,0.6671759,-0.007106781,0.04819931,-0.14018652,-0.6687669,-0.3408151,-0.82576776,-0.0861891,-0.6549801,0.44640958
-1.2700833,-0.28297132,-0.27445126,-0.076055855,-0.16937822,-0.09773791,-0.38212603,0.5459907,-0.1739503,0.8412971,-0.82702345,0.7103965,-0.4940134,-0.8133172,-0.052333593
-2.1885498,-0.43137354,0.093763374,-0.44912964,0.5792404,-0.096521966,0.79565835,0.15335207,-0.044352055,-0.29400036,0.6288448,0.06507582,0.8710108,-0.24710985,0.20171317
-5.8770814,-0.23097378,-0.028142333,-0.10370952,-0.51953,-0.19915526,0.13949966,-0.772647,0.24822302,-0.45363253,0.10044616,0.38483837,-0.8446718,-0.6762062,0.3629577
-1.3426088,-0.04748307,0.91064185,0.32672927,-0.38681698,0.28628772,-0.17108095,-0.71848273,0.89273447,0.110453784,-0.41328612,0.5520317,-0.9787535,-0.8772349,0.28165793
-1.7271596,0.15130533,0.6996631,-0.27948716,0.6812739,-0.42733854,0.27378798,0.23735201,-0.9196121,0.44710892,-0.8522465,0.16106616,0.39415818,-0.85820603,-0.337813
-2.458438,-0.36842147,0.59066206,0.110334836,0.10944589,0.76277304,-0.4995631,0.4350349,-0.40012634,-0.8805218,-0.21392812,0.05367592,-0.39878732,0.4890662,0.4167851
-2.175867,-0.06593249,0.046227533,-0.6142723,-0.15559827,0.35549277,-0.14143337,-0.105945066,-0.685496,-0.879177,-0.47419593,0.5512871,0.85256416,-0.34929433,0.48927727
-1.4591293,-0.32185626,-0.028005809,-0.33452564,-0.5860344,0.10211099,0.48547748,0.119612806,-0.20466366,-0.18383063,0.36307737,0.73671365,-0.3093465,-0.7692341,0.3242842
-1.1013682,-0.23563895,-0.919308,0.35934708,-0.41927806,-0.13667572,0.9030221,-0.112429254,-0.46123806,-0.36155593,0.8428537,0.67985594,-0.5527543,-0.92821777,-0.97549367
-2.0972967,0.62477857,-0.07555313,-0.5005304,0.1051158,-0.44106263,-0.11610699,-0.36189798,0.17906651,0.725564,-0.27792215,0.30691355,-0.20843253,0.7211133,-0.93428856
-3.3490624,-0.90144116,0.07109548,-0.147679,-0.1970332,-0.16706531,-0.3200326,-0.6579953,-0.046106946,0.13232823,0.7827757,-0.009608939,-0.39364898,0.3577373,-0.082224205
-2.0626783,-0.12083411,0.3134242,-0.34147537,0.28623044,-0.71625,-0.7709527,0.9945283,-0.9931218,0.6441098,-0.30741525,0.5233488,0.30767533,-0.23390345,0.33471134
-2.521718,0.729013,-0.6271808,0.88795316,-0.8986775,0.8768138,0.5804507,-0.18479855,0.91279066,0.99863255,0.12939453,-0.36828285,0.32051238,-0.53956133,-0.5923344
-7.295397,-0.23674893,-0.27493826,0.01123631,-0.28268874,-0.21087113,0.17751361,0.39110413,0.19791414,-0.37648356,0.4354369,0.47394648,-0.6767628,0.3321236,-0.9506762
-2.2753525,-0.3368216,0.5826245,0.099698864,0.19925535,0.6951873,0.58350414,0.23543882,-0.04750073,-0.029924273,-0.42780048,-0.1779908,0.79240423,0.20143959,0.05038154
-3.0154116,0.8901342,0.7077795,0.0011993647,-0.2651453,-0.37581262,-0.7696938,-0.38257325,0.7121333,-0.48127154,0.57494944,0.21757902,-0.23455639,-0.40189162,0.69673395
-1.9423717,0.70994574,-0.422507,0.23955406,0.3574757,0.21644296,0.30193925,0.38659608,-0.45697212,-0.008517861,-0.5819647,0.5457164,0.053184353,-0.24050012,-0.23831981
-1.458017,-0.57531685,0.693868,0.11889931,-0.19471656,-0.3100963,-0.49584314,-0.018184435,-0.80571306,0.4274257,-0.6650156,0.05746777,0.017913938,-0.89914054,0.20101854
-1.749474,0.05758463,0.09544463,0.58275795,0.37058178,0.28781712,0.43684366,-0.42496258,-0.72688645,0.55836576,0.91578835,0.13295877,-0.06958746,-0.6461068,0.13890085
-2.0445428,0.15492773,-0.8683498,0.752567,-0.91999155,-0.2929363,0.24423337,0.4032691,0.6544894,0.33573925,0.22372276,-0.06713319,0.2941855,-0.6822624,0.31995222
-1.1038991,-0.12773852,-0.4858621,0.4954427,0.3562798,-0.71061265,0.49525055,-0.35653982,0.94963604,0.57590127,0.04272948,0.9663924,-0.24948272,-0.9083713,-0.5097664
-2.10061,0.27880886,-0.5667295,0.13244113,0.059916496,-0.5729553,-0.27393293,0.26567605,-0.43055075,-0.29181087,0.69969124,0.602194,0.21375634,-0.024523497,-0.29174682
-3.4086852,-0.20682104,0.8014982,0.3972444,-0.13304049,0.27961218,0.22069824,0.4628621,0.20490885,-0.19044346,0.069735885,-0.23536551,-0.4051243,0.12033802,-0.03933422
-1.8236653,-0.23855957,-0.0061075687,0.83115,-0.04832329,0.3493921,-0.3888118,0.24875455,0.7551653,0.47038448,0.3731648,-0.23570588,-0.63061273,-0.6555692,-0.28663063
-1.5744301,0.44356263,0.2748642,-0.3798738,-0.16779968,0.69912505,-0.40047866,-0.54022175,-0.54140604,0.6506324,0.30266222,-0.22805707,-0.08116563,-0.9419941,0.43727118
