fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49
-14.478116,-0.14853907,-0.5627764,-0.27678996,-0.0373468,-0.93678594,-0.58672774,0.12762418,0.2974434,-0.1836555,-0.7831294,0.46620753,-0.3883852,0.17309554,-0.3322979,-0.50988305,0.027869452,-0.35865796,-0.63880664,-0.20138586,0.068611175,-0.65740937,-0.28664085,-0.79768634,-0.13049476,-0.09405468,-0.071225524,0.36585337,0.42500496,-0.4795516,-0.5504681,0.17120981,0.18563172,0.47266996,0.5351963,0.14329132,-0.44457495,0.48702335,-0.3053795,0.93641335,-0.4750215,0.29024613,-0.67980754,-0.16724788,-0.012614727,-0.7938858,-0.8868776,0.072649844,0.20812106,0.94211197,0.53167975
-14.652578,-0.6639445,0.15449373,-0.6161175,-0.24779892,-0.9354427,-0.07218972,-0.46681443,-0.35842067,-0.7942117,-0.24469364,-0.37272304,0.1442915,-0.24432899,0.87578607,0.644713,0.53244597,-0.085791215,0.20895301,0.6393745,0.11295801,-0.06554996,-0.23360759,-0.6515268,0.29590726,0.6707277,0.17294134,-0.007947108,0.5373425,-0.11564562,-0.096800804,0.8135687,0.3468439,-0.120185345,-0.73010725,0.5832884,0.81195945,0.9680804,0.24362648,0.33678153,0.5651907,-0.22422849,0.048629284,-0.113100566,-0.40192735,-0.34890693,0.39347073,0.715058,0.30344296,-0.9093286,0.67383176
-15.78887,0.36682636,0.26913393,-0.9519027,4.5216084E-4,-0.15638217,-0.6590846,-0.44784355,0.70666724,0.4003414,-0.25201738,-0.93488765,-0.11901261,0.18174535,-0.031345196,-0.4368054,0.89372003,-0.40429068,0.0027703047,0.5088039,0.07168944,-0.39519662,0.211651,-0.17711717,0.91103274,0.52980864,-0.62887216,0.52928597,0.13081574,-0.21322282,-0.95006853,0.8277657,0.8999003,0.84724355,0.73091906,0.03736902,0.044060946,0.23958278,-0.81654114,-0.07595729,0.4299108,0.74404263,0.69083494,-0.19924553,0.13989331,-0.19889313,-0.28378877,-0.20907937,0.709048,-0.47230124,0.07009381
-15.032955,-0.6613245,-0.122207165,0.07988013,-0.4732064,0.5092106,0.39013314,-0.21541318,0.41458365,0.38062298,-0.5961578,0.58930063,-0.12783,0.5726481,-0.49259952,0.13306576,-0.41321737,0.2890339,-0.31501374,0.04479046,-0.46646687,-0.8963536,0.9127063,0.2992227,0.50884664,-0.07034639,-0.050928496,0.27341422,-0.33853674,-0.5661236,0.033392902,0.41008478,-0.05535107,-0.16780233,-0.9429109,0.003358245,0.29559666,0.099330224,0.67351675,0.26338944,0.28107002,-0.15456522,0.029051365,0.8945372,-0.27147356,0.114926696,-0.023730492,-0.02806726,-0.056165576,-0.72252095,-0.050194595
-13.302618,0.8232783,-0.37077793,0.38707334,-0.463498,0.0227796,-0.1313155,0.6833259,-0.22773828,0.51152194,-0.18594806,0.092056155,0.5521559,0.32996696,-0.49726933,-0.7691579,-0.31514114,-0.18758357,0.44873655,-0.23997808,0.957821,0.09584178,-0.003258024,0.070327,0.7691654,0.9687315,0.12750103,0.5192975,-0.012963605,-0.42060342,-0.026711257,-0.7445819,-0.5919319,-0.610508,0.7975178,0.8459117,-0.50907964,0.40206555,0.19086295,0.21683693,-0.56604713,-0.34379628,-0.17716683,0.060203727,-0.32072064,0.6336332,-0.7836275,0.38513905,-0.17647251,-0.10195172,0.03116422
-13.419961,0.26317903,0.96631396,-0.2815489,-0.47421336,-0.046887238,-0.21139768,-0.5666663,0.57114834,-0.55032027,-0.2362305,-0.025323868,-0.13219193,0.5448203,-0.5206745,-0.3770187,-0.53559357,-0.14959171,-0.7279612,0.5320487,0.33963928,0.82435644,-0.46969515,0.58852273,0.2974418,0.0806591,-0.1145699,0.45038745,0.3094428,-0.3458704,-0.9700892,0.40371117,0.15016283,0.4860101,-0.011496672,-0.8120063,0.9107099,-0.5987656,0.29361776,-0.12346554,-0.5620632,-0.11428066,0.04028177,0.34593502,-0.4471311,-0.9932324,-0.5166959,0.2221067,-0.34726506,0.4576795,0.7480352
-14.300429,-0.522756,-0.17144464,0.17852747,0.36586133,-0.21402238,0.5352388,0.11036498,0.4925432,0.47821844,-0.10863839,0.21575075,0.8429836,-0.8064689,-0.3027879,-0.8751999,-0.06301129,-0.77342147,0.24690866,0.4690157,-0.5806609,0.127432,-0.2959056,0.22070871,-0.15477304,0.02598174,-0.4735923,-0.058509707,-0.8867281,-0.56089354,0.35427094,-0.14626983,0.02791348,-0.20622523,-0.714823,0.7002438,0.6009203,-0.2687767,-0.311202,-0.9524853,0.19737981,-0.05480025,-0.51053977,0.32356378,-0.692526,-0.31079942,0.2008836,-0.5273713,-0.5354488,-0.2277119,-0.8451075
-15.144282,0.004371801,-0.74012303,0.33729255,0.38035178,0.6136495,-0.60844415,0.32590765,-0.34017515,-0.1342374,-0.17909889,0.56852883,0.13011754,-0.2312966,-0.03570366,-0.8236591,0.20906258,0.39955458,0.4742967,0.100412555,-0.08703506,-0.72279,0.73285663,-0.28352675,0.54835427,0.08865989,-0.31360036,-0.75431836,0.4451077,-0.8142142,-0.23294649,-0.5096124,-0.17019925,-0.060839627,-0.2015,0.06578511,0.6887098,0.38163888,0.27632928,-0.76115,0.36723286,0.67515165,0.4523129,0.7259457,0.44797787,0.7706177,-0.032962784,-0.15174563,0.21223587,-0.5897837,0.15795366
-13.983285,0.28121817,0.58948797,0.26477623,-0.97443163,-0.17543785,0.4235817,-0.4289773,-0.55128086,-0.75017095,0.7269478,-0.47977385,0.108973645,0.21894248,-0.038610555,0.60470957,0.3916754,-0.22073686,0.27838594,-0.6995105,0.3734485,0.8236626,-0.38328436,-0.30277818,0.34666932,-0.1653461,-0.2720686,0.6147648,-0.02771473,-0.20179541,-0.3285831,-0.1688502,0.2541493,-0.124256104,-0.60590076,0.13869274,-0.62271065,0.030535005,0.50728375,-0.027981758,-0.13430035,0.09731047,0.43261373,0.09192391,-0.19993763,-0.105306536,-0.059423193,-0.03076756,-0.732571,-0.12885141,-0.23524301
-12.885319,0.44056833,0.17400925,0.033756062,0.18508267,0.38299468,0.0699023,0.371315,0.26827872,-0.01575782,-0.27722615,0.061572526,-0.028059645,-0.57445097,0.22219211,-0.7641239,-0.736603,0.9370009,0.38781646,0.058199774,-0.6826178,-0.27327052,-0.8200634,-0.7275318,0.25469777,-0.47163197,0.49380904,-0.9590958,-0.36165938,-0.49824703,-0.37936047,0.31823388,0.46750137,-0.59244865,0.22399196,-0.7001276,0.8745657,-0.20191608,-0.9096018,-0.14591506,0.3876036,0.6233087,-0.10622964,0.6474862,0.061446715,0.21345699,-0.973267,-0.6262941,-0.55874276,-0.29457867,-0.37555033
