fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-3.1448247,0.62096006,0.061750054,-0.8839016,0.40305308,0.21073282,-0.4469452,0.6096012,-0.44763187,-0.052160144,0.4330226,0.039515756,-0.34852123,-0.70921123,-0.059191704,0.78971344,0.4343762,-0.028056236,0.36484575,0.06836158,-0.6929083,0.5056419,0.25448143,0.48506734,0.7873799,-0.27470568
-1.714909,0.42365393,-0.09159019,0.5531748,0.567136,0.5394069,0.66515553,-0.29387575,0.27432865,-0.9082561,-0.2701404,-0.40620688,0.5037181,0.1588056,-0.35937992,0.25003743,-0.17052965,0.58595157,0.5988176,0.66166353,-0.47340587,0.5962308,-0.9543743,0.3849393,-0.29823232,-0.8409367
-2.9608593,0.10052667,0.27214566,0.46547776,-0.21861011,0.007690002,0.20863385,-0.59019583,0.5490625,-0.31708148,0.0011181253,0.18905991,-0.4766085,-0.23738942,0.21500751,0.037346225,0.039445996,-0.9847071,0.25604936,0.09183076,-0.24597289,-0.86824954,-0.23666546,0.5770375,-0.10898054,-0.27722475
-2.628964,0.25919423,0.43363833,-0.954114,0.61428535,0.30972752,0.53472126,-0.011347306,-0.21511556,-0.39732292,0.8365376,-0.09913521,-0.0025135083,0.5391073,-0.84658754,0.44027233,0.21110868,0.1832101,0.46575335,-0.23349248,-0.105750434,-0.5455022,0.5748771,-0.2668958,-0.30343655,0.08426879
-3.1690328,0.41820797,-0.87094027,-0.53882515,0.4519434,-0.7133712,0.5958533,-0.6442591,0.34619823,0.08396769,0.19890729,0.08211748,-0.5214008,-0.5264277,0.10002875,-0.2581272,0.061946444,-0.7233858,0.08145715,0.43355864,0.3508954,0.31425038,0.1777911,-0.6115397,0.20598717,-0.71149784
-1.5671942,0.84155303,0.014083813,-0.08085833,0.0063860617,-0.0011396112,-0.4658994,-0.35228556,-0.43452063,0.65370333,0.11668361,0.42174095,0.27213866,0.08334839,-0.34080288,0.43552127,0.06704001,0.40494844,-0.8603015,-0.24950178,0.09753896,0.7933673,-0.60702735,-0.41476563,-0.8106389,0.011449905
-0.6705978,-0.052372083,0.3014213,0.61639154,0.831541,-0.057948023,-0.928903,0.6347006,-0.57097477,-0.3051777,-0.797704,-0.31345144,-0.9977409,-0.9154619,-0.07394315,0.47504804,-0.10213518,0.5589256,-0.020175092,0.27425918,0.27451557,-0.37703073,-0.54960626,-0.035161853,-0.1026878,0.9077874
-1.509878,-0.46546993,0.43399066,0.51237166,-0.5513885,0.20480739,0.7374902,-0.51924956,0.5641201,-0.052631706,-0.40603033,0.47563538,0.061162483,0.76296556,0.13940306,0.1125329,-0.014700808,-0.72514826,-0.26967025,-0.8756658,0.06713254,-0.72888154,-0.433432,-0.44107613,0.04611861,0.3699961
-3.3913178,-0.23629701,-0.25775138,0.5904558,0.119282626,-0.09919102,0.40355307,-0.08014744,-0.19250381,0.065985896,-0.33186528,0.902533,-0.04140179,-0.8275785,-0.9693671,-0.57793283,0.36338958,0.2817146,0.5806959,-0.0540984,-0.40539104,0.25412798,0.87946045,-0.5157953,0.06369499,-0.96338254
-1.3221724,0.06628512,0.19658023,0.47379935,0.14209151,-0.41323364,-0.4857807,-0.586611,-0.13072276,0.86112595,-0.17062259,0.12524152,0.025469923,-0.059293628,0.08757594,0.068252444,0.4628085,-0.7125264,-0.8606696,-0.25456768,-0.026939863,-0.22471192,-0.58690554,0.6064215,0.032079555,-0.37849525
