fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49
-15.749373,-0.99382126,0.9935323,0.022320049,-0.6874428,-0.42051202,0.16839273,-0.19427311,0.19144623,0.27597308,-0.16422549,0.5303119,0.14090133,-0.003291913,-0.17688386,-0.6841066,0.095369205,0.784407,-0.5517316,-0.4465678,0.20750105,0.26602283,0.038915038,0.14824249,0.7331027,-0.041848898,-0.33642408,-0.2816238,0.6672662,0.69461423,0.23580316,0.1985947,-0.5086347,0.2380358,-0.8876056,0.37188828,0.5565183,-0.95837945,0.09686543,0.5267206,0.42327726,0.6338917,-0.5019492,0.4822635,-0.5378887,-0.6054925,0.103479385,-0.52739835,-0.5634876,-0.015959403,0.6289026
-14.907903,-0.5890607,0.0014070272,0.5678296,-0.31130764,-0.9694023,-0.29904458,-0.026156103,0.14157578,-0.19424585,-0.5343913,-0.882278,-0.11783466,0.12516303,-0.8365079,0.7241532,0.5733996,0.059090793,-0.3142625,-0.1863719,0.8940317,-0.18781805,0.6732323,-0.23791848,-0.47861338,0.553543,0.18392254,-0.1646004,0.257878,-0.23563126,0.017963506,0.10806613,-0.1616689,0.14904766,0.44182858,0.58180505,0.24525063,-0.2540119,0.42646644,0.1002846,0.14451072,0.19586515,0.4370518,-0.17144908,-0.518506,-0.17746639,-0.41577935,0.5301738,-0.032276172,-0.050933413,0.299235
-16.068115,0.17170572,0.106602795,0.8505964,0.6099746,-0.22197044,0.19775899,-0.7421836,0.03573382,-0.120530136,0.8050439,-0.031078815,0.120707676,-0.47941986,0.117670655,0.38880906,-0.38215563,0.14082359,-0.02398795,0.322528,0.26248717,-0.692101,-0.21716753,0.16519655,0.101344705,0.5560954,-0.26939768,0.15073708,0.16317755,0.12641321,0.64946,-0.2713322,-0.5047207,-0.5092723,0.45159602,-0.9432541,-0.27690518,0.59585935,0.6980932,-0.9487549,0.12549393,0.19555949,0.25140488,0.3434052,0.4363494,-0.91276705,-0.25693288,0.033133965,0.008808017,0.28812343,0.36639905
-14.63167,-0.3123448,-0.17983699,0.47863612,0.5252551,0.7038617,0.42065015,0.9106452,-0.1211398,-0.5385934,0.098357484,-0.8211697,-0.27024478,0.6278888,-0.36636668,-0.37995073,0.62360424,-0.81353873,0.12873708,0.5066665,-0.09739223,0.2628224,0.05674221,0.08786334,-0.41517663,-0.065524295,-0.03044469,-0.04047194,0.021943016,-0.6478526,-0.12691022,0.1757428,-0.42457956,-0.09909184,-0.793455,-0.90528256,0.68754745,0.12766063,-0.30560863,-0.3143639,-0.33485228,-0.3468048,0.6584555,0.19306676,0.7695117,-0.6942354,-0.3162449,0.4785046,-0.7857963,-0.11531137,0.31467754
-14.7433195,-0.32076588,-0.033119913,-0.34396264,-0.16750121,-0.020898871,0.110149145,0.5837976,0.4633071,0.029938936,-0.25365704,-0.53513324,0.2747122,0.23427211,-0.31079853,-0.48761076,-0.49404597,0.14762,0.7842146,0.551414,-0.051391482,0.24595536,-0.17588651,0.51708937,-0.06802982,0.8470645,-0.42416513,0.32615,0.15868473,-0.3242504,-0.020332895,-0.30267388,0.13453071,-0.47872174,0.35520473,0.40455174,0.12429003,0.36207125,-0.4904964,-0.860813,-0.019999184,0.2188511,0.20521107,0.22055918,0.28261587,-0.17748165,0.42525098,0.3237153,-0.48070997,0.16143541,-0.077831484
-14.606301,0.26803783,-0.16204199,0.11555845,0.4181335,-0.0064526633,-0.900809,0.003177895,0.19626403,0.1653478,0.016470006,0.81776744,-0.13337556,0.009019966,0.3977849,0.39518163,0.13417496,0.13906963,-0.11736224,-0.62565196,-0.39185736,-0.10252037,-0.35013106,0.52841586,-0.08379907,-0.1251627,0.5868284,-0.85557044,-0.19777405,-0.4428884,-0.63919026,0.33489048,0.30900714,0.09156258,-0.7061349,-0.8382457,-0.6307529,-0.24005836,0.32330316,0.14148962,0.4235966,0.6411745,-0.5977489,0.10045631,0.2512708,0.47277793,-0.5380097,-0.07550247,-0.026205437,-0.02174194,0.0077242674
-12.578029,0.056685835,-0.013003498,0.89261234,-0.4599417,0.30310807,-0.777884,0.71113837,0.10570586,-0.25063145,0.017944455,0.16248986,-0.7062906,0.44547468,-0.30822414,-0.13909264,0.69566524,-0.25253728,0.105439804,0.020899177,0.9578082,0.8417405,0.32849276,0.75462437,0.7144909,0.02005425,-0.4164107,-0.28069025,0.30853736,0.24773759,0.1627186,-0.049260236,0.07533574,-0.26671064,-0.24359094,-0.27104354,-0.9780696,-0.5254872,-0.9162333,-0.01568347,0.27061126,-0.041983783,0.014804413,0.20575614,0.3499815,0.0034424067,-0.6821266,0.11484337,0.37329558,-0.017864408,-0.058959108
-19.258547,-0.08508379,-0.5412143,-0.6729026,0.91912895,0.21009834,0.69359756,0.73529416,-0.38276434,-0.7948667,0.6168173,-0.58923495,-0.9499614,-0.4526919,0.12864096,-0.7875086,-0.47992972,0.09507835,-0.85905296,0.084328726,0.26689735,0.5052047,0.07226431,0.071848765,-0.8942823,0.26541808,-0.5591364,0.49454737,0.13882934,-0.009953141,-0.58045375,-0.43030143,0.1678246,-0.13309027,-0.12683295,0.007270737,0.11457331,0.377353,-0.49541685,0.058273975,-0.14450155,0.6618327,-0.4269582,-0.6067548,0.2877972,0.96002454,0.38419217,0.30273315,0.96405345,0.44555342,0.41680214
-14.805215,-0.43770808,0.53139573,0.13312191,-0.16343987,0.5221192,0.4646511,-0.38427123,-0.38196123,0.7479288,0.9910629,0.07497493,-0.123357624,0.06960351,0.49480867,-0.5690614,-0.021258235,0.4647282,0.27764314,-0.023157,-0.5583218,0.3034086,0.5592913,-0.5790916,0.043063767,-0.3646601,-0.47941017,0.38028324,-0.90587974,0.28053948,-0.33101937,-0.5966464,0.24009049,0.61697006,-0.21930791,-0.106401324,0.07995527,-0.046743356,0.5036988,-0.3634357,0.58682007,-0.4026914,-0.21880946,-0.7370761,-0.38518068,-0.072552085,-0.13460119,-0.73599315,-0.35117036,-0.4336459,0.07383969
-14.112768,0.0877618,-0.9721147,-0.7648595,0.6198368,0.29256472,-0.98512936,-0.23088169,-0.5243763,-0.1505099,0.3072641,-0.6245158,-0.045593195,-0.3216094,0.5227543,0.36105287,0.58703154,0.6071768,-0.4938008,0.3457338,0.8243951,-0.11415985,0.8992761,0.6674979,0.6739352,-0.85787296,-0.86260056,-0.23526503,0.37972176,-0.8199558,-0.20783184,-0.73363376,-0.40757862,-0.37325427,0.2196787,-0.8157615,-0.5572027,0.301315,0.0035418505,-0.23717035,-0.012694369,0.1370616,0.5203676,-0.5436638,-0.6722194,-0.35673293,-0.53382206,-0.79450196,0.14601497,0.7117973,-0.07824314
