fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8
-1.7203145,-0.3558383,-0.14904815,0.5590669,-0.5139961,-0.8157853,0.8845246,0.9404069,-0.39453512,0.5377424
0.79795045,-0.96865046,-0.7194089,-0.23194027,-0.8028129,-0.13292211,-0.8944048,-0.092894666,-0.055863976,-0.08871681
0.39610463,-0.5251187,-0.31861004,0.0958518,0.0062766257,0.09740959,0.7173935,-0.032588243,-0.28767374,0.4259415
-0.27172276,-0.61695457,-0.12174122,-0.46516111,-0.68222433,0.7481134,0.017188177,-0.36163342,-0.4149697,-0.39069214
-0.71129984,-0.56935716,-0.21600418,-0.74874496,-0.7765394,0.06619526,0.7165725,0.614993,0.6086338,-0.99988115
-0.2043887,7.205832E-5,-0.13978289,-0.09806436,0.14777742,0.04568994,-0.05716026,-0.34133458,0.4278588,-0.3418344
-0.20653495,-0.43449733,-0.075971834,-0.09176788,-0.1375433,-0.035618983,0.96164685,0.98634243,-0.6271514,-0.22590399
-0.06675024,-0.18846574,0.45932424,0.33054644,0.21045315,-0.17170158,0.82014775,0.43073368,-0.37560928,-0.49125573
-0.8646147,0.14086907,-0.41468883,0.12858593,0.25789896,-0.23961017,0.031969067,-0.45646667,-0.4398932,0.27518475
0.8509787,-0.32017103,-0.8864627,-0.038323384,-0.42323408,0.22961974,-0.16579866,0.5786524,-0.68681115,0.29203656
-0.25036427,0.2564838,-0.1284032,-0.5621738,-0.8613408,-0.064360134,-0.1548221,-0.16233444,0.5597826,-0.1233966
0.5924496,-0.8825281,0.8337001,0.017377816,-0.00618144,0.17344913,-0.40682793,0.053640246,-0.22518252,0.9319032
-5.730486,0.6711514,-0.12218714,-0.094792366,-0.10266323,0.3101407,-0.42334083,-0.9374607,-0.16059673,0.44768304
-0.17570837,-0.64077604,0.65929514,0.47751322,-0.9838604,-0.19294406,-0.079031266,-0.38776493,0.5532402,-0.19756031
0.30155766,-0.90328956,0.75791967,0.3230965,-0.14127095,0.79448056,-0.05630094,0.5182155,-0.87770146,0.12234066
0.09990844,-0.7631086,0.10672547,-0.42685577,-0.5430212,-0.05661285,-0.8472139,-0.13908327,-0.5998015,-0.5176705
