fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13
0.31020126,0.53395563,0.89359564,0.28398687,-0.6824928,-0.6691589,-0.76793796,0.14284518,-0.056931615,-0.11632471,-0.40527108,-0.1733179,0.268391,-0.038211197,0.9603187
-0.19834797,0.32561192,-0.64314085,-0.027835168,0.27861187,-0.40183678,-0.17394674,-0.25732645,-0.15121743,0.032234523,-0.58491296,0.6837035,0.7041183,-0.8081067,0.21755624
-0.6325237,-0.3126169,0.9382619,-0.12511656,-0.6533896,-0.62673396,0.46325716,-0.2355384,0.6796137,0.0064594867,-0.53777474,-0.005042406,0.35231826,-0.05639957,0.44537887
0.6263141,-0.5218643,0.12853909,-0.36611038,0.7436614,0.99038076,-0.7788437,-0.28944835,0.18557213,0.27681482,-0.8070094,-0.42131275,-0.11652839,-0.12629293,0.3388029
-0.4701567,0.14891627,-0.67317694,-0.6050475,0.06337321,-0.07719731,0.5398123,-0.29420295,0.26353836,0.17587234,0.6466671,-0.17465127,0.7178739,-0.46356308,0.4871312
0.85087794,-0.3659135,0.14138418,0.69125193,-0.33756188,0.15333045,0.20833957,0.14624827,0.6765148,-0.95192415,0.1926323,0.045282602,0.011214184,-0.15299794,0.047555923
-4.6263638,-0.99420327,-0.06591562,-0.5094563,-0.16417839,0.31921917,0.17325903,0.9650085,0.08579111,-0.69286007,-0.75500774,-0.3737192,-0.9609398,0.33944702,0.6135512
-0.1557611,0.034924734,0.8196005,-0.54560196,0.5827392,0.37366596,0.08064667,-0.34311107,0.0444299,-0.34422925,0.7166649,0.14551072,0.23309565,-0.13745217,0.7302801
0.4073813,-0.3604757,0.47280976,-0.6592263,0.98391825,0.30241558,0.06737131,0.9523052,-0.09648979,-0.39856514,0.051921487,-0.9262485,-0.14937238,-0.3049851,-0.46754512
-0.065899,0.2592607,0.60616356,-0.61434144,-0.584071,0.053852558,0.60065365,-0.040085003,0.27617133,-0.3726916,0.14834553,-0.06282568,-0.5685631,-0.3276282,0.67719704
0.6170317,0.2957461,-0.6277367,-0.7405925,-0.074777186,0.68550533,-0.85433096,-0.29051447,-0.17058837,-0.37747246,0.4954526,0.62257874,-0.058684945,-0.22113006,0.9432522
0.005222435,-0.51999664,0.122100115,-0.14394681,-0.14811635,0.9113937,-0.6056659,-0.087907575,-0.7846782,0.18601125,0.7932577,-0.6611958,-0.26526344,-0.5046925,-0.0632245
-0.31449088,0.19942774,-0.22863364,-0.051484782,-0.14712965,0.036557134,-0.5739453,-0.40441334,-0.25984177,-0.020761708,0.23567161,0.38036892,0.6937082,-0.30987775,0.29259333
-0.4922632,0.3865919,0.48658523,0.404899,0.06684569,-0.964304,-0.48731267,-0.6946609,0.8553174,0.21207714,-0.36498082,-0.9504512,0.19411625,0.056069348,0.10309096
-0.44895944,0.9200824,0.30185866,-0.022020942,0.1329512,-0.28832707,0.6573989,0.21175489,-0.3070891,0.87664086,-0.017522354,-0.43588424,-0.1577587,0.5395116,0.092372976
0.8652477,-0.2745081,0.76843673,-0.20437345,0.3995382,-0.05566976,0.48345152,0.08162451,-0.6079037,0.12862942,-0.8991354,-0.07929245,0.70401907,-0.7381643,0.6092496
0.6003895,0.37169498,0.56046295,0.5805955,0.73821783,0.5509924,0.2264959,-0.5312923,0.3731065,-0.19368091,0.09569387,0.42140037,-0.065551735,-0.19694963,0.5402814
0.06305013,0.65895987,-0.29433954,0.87392837,0.24665919,-0.81554,0.95593905,0.4633292,-0.1965857,-0.36600617,0.9975613,0.16241896,0.17121732,-0.6457111,-0.22274978
0.48911297,0.42262137,-0.9272901,0.105471365,-0.56933224,-0.32266307,0.21362516,0.6031737,0.2673729,0.36907092,0.78999436,0.053566355,0.011723638,-0.31744865,-0.56595284
